event_id,stock_code,stock_name,market_code,relation_type,relation_strength,relation_layer,note,event_day_pct,event_day_ar,ret_close_t2,ret_close_t5,ret_close_t7,car_t2,car_t5,car_t7
A_20250609_600059,600059,古越龙山,sh.600059,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.01%, 换手率=4.72%",10.0101,9.719396999999999,7.482305358948427,7.785642062689591,6.976744186046502,7.164748999999999,8.189894999999998,7.449539999999999
A_20260129_600059,600059,古越龙山,sh.600059,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.00%, 换手率=9.11%",10.0,9.239543,4.141414141414135,2.1212121212121016,3.1313131313131404,7.1140989999999995,3.7634929999999995,3.7432739999999995
A_20250924_600060,600060,海信视像,sh.600060,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.00%, 换手率=2.99%",10.0,8.975775,9.20704845814977,8.237885462555061,7.31277533039647,8.608792000000001,4.285805000000001,5.894217000000001
A_20250407_600061,600061,国投资本,sh.600061,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.83%, 换手率=0.90%",-9.8315,-2.785985,-5.0561797752809,-4.07303370786517,-4.63483146067416,-0.24574799999999986,-1.1464209999999997,-2.0964149999999995
A_20250407_600062,600062,华润双鹤,sh.600062,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.96%, 换手率=2.68%",-9.9591,-2.9135849999999994,-7.967313585291114,-6.332992849846786,-7.6098059244126715,-3.3867479999999994,-3.5658209999999997,-5.2961149999999995
A_20250320_600063,600063,皖维高新,sh.600063,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.09%, 换手率=11.64%",10.0917,10.968874999999999,6.422018348623837,5.9633027522935755,7.798165137614688,8.71096,8.359593,11.264047999999997
A_20250407_600063,600063,皖维高新,sh.600063,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.76%, 换手率=3.51%",-9.7614,-2.715885,-8.026030368763559,-3.6876355748373113,-6.073752711496727,-3.497348,-0.804421,-3.657915
A_20251113_600063,600063,皖维高新,sh.600063,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.98%, 换手率=7.58%",9.9836,8.774666999999999,14.402618657937794,5.237315875613757,-1.9639934533551617,15.009432,7.561016,3.391389
A_20260206_600063,600063,皖维高新,sh.600063,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.94%, 换手率=5.27%",9.9398,10.514115,6.626506024096401,3.765060240963858,11.596385542168687,5.7420480000000005,4.540101,10.336984
A_20250407_600064,600064,南京高科,sh.600064,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.65%, 换手率=2.08%",-9.6467,-2.601184999999999,-7.8804347826087024,-6.385869565217394,-6.657608695652173,-3.346547999999999,-3.681520999999999,-4.334814999999999
A_20250407_600067,600067,冠城新材,sh.600067,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.00%, 换手率=1.24%",-10.0,-2.954485,-10.416666666666663,-6.25,-9.166666666666668,-6.046648000000001,-3.401321000000001,-6.900115000000001
A_20251014_600067,600067,冠城新材,sh.600067,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.03%, 换手率=3.31%",10.0324,11.22775,22.006472491909392,16.504854368932055,13.592233009708732,20.092331,16.120731,13.637269999999997
A_20251031_600067,600067,冠城新材,sh.600067,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.08%, 换手率=6.03%",10.084,11.554164,25.210084033613445,16.526610644257712,34.17366946778713,25.431911,17.257092,32.504459
A_20251104_600067,600067,冠城新材,sh.600067,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.10%, 换手率=14.57%",10.0985,10.844273,1.2315270935960854,17.98029556650247,19.95073891625616,1.141691999999999,17.916821,18.580497
A_20251110_600067,600067,冠城新材,sh.600067,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.10%, 换手率=8.13%",10.0962,9.748754,12.98076923076923,18.028846153846146,1.6826923076923128,13.502976,19.070508,5.001721000000002
A_20251118_600067,600067,冠城新材,sh.600067,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.98%, 换手率=7.21%",-9.9796,-9.330200999999999,-16.08961303462322,-18.126272912423637,-19.959266802443988,-16.160516,-16.836601,-19.644897000000004
A_20250407_600071,600071,凤凰光学,sh.600071,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.01%, 换手率=1.36%",-10.0149,-2.969385000000001,-10.659395141298965,-5.057015369360451,-6.742687159147264,-6.246648000000001,-2.052721000000001,-4.199715000000001
A_20250911_600071,600071,凤凰光学,sh.600071,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.01%, 换手率=5.02%",10.0143,7.704712000000001,12.255603242727698,10.395803528850745,21.17310443490701,10.113859000000001,9.222869000000001,18.238908000000002
A_20250407_600072,600072,中船科技,sh.600072,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.96%, 换手率=2.84%",-9.9598,-2.9142849999999996,-0.7228915662650603,-2.409638554216864,-4.497991967871473,4.436352,0.7796790000000003,-1.7338149999999994
A_20260204_600072,600072,中船科技,sh.600072,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.98%, 换手率=10.16%",9.9835,9.155712,4.86798679867988,5.940594059405946,7.425742574257432,5.641165999999999,5.236069999999999,7.7675519999999985
A_20250407_600075,600075,新疆天业,sh.600075,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.02%, 换手率=1.24%",-10.0228,-2.977285,-5.46697038724373,-5.239179954441909,-5.46697038724373,-0.648848,-2.352721,-2.956815
A_20260106_600075,600075,新疆天业,sh.600075,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.06%, 换手率=4.23%",10.0604,8.514151,7.847082494969837,6.438631790744465,9.456740442655942,7.647894,5.870398,8.887796
A_20250407_600076,600076,康欣新材,sh.600076,跌停异动,1.0,直接,"规则抽取：涨跌幅=-9.91%, 换手率=1.56%",-9.9057,-2.8601849999999995,-11.32075471698114,-6.132075471698117,-8.490566037735858,-7.098048,-3.276321000000001,-6.167814999999999
A_20250815_600076,600076,康欣新材,sh.600076,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.96%, 换手率=4.59%",9.9602,9.264345,18.32669322709166,9.16334661354583,16.33466135458168,16.586894,5.071719,9.983153999999999
A_20250819_600076,600076,康欣新材,sh.600076,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.00%, 换手率=8.77%",10.0,10.378317,2.592592592592591,8.148148148148149,1.4814814814814836,2.0432859999999993,3.774576999999999,-2.707299
A_20250826_600076,600076,康欣新材,sh.600076,放量上涨异动,1.0,直接,"规则抽取：涨跌幅=7.35%, 换手率=13.23%",7.3529,7.725027,0.7352941176470562,6.985294117647056,4.779411764705888,1.2431510000000001,6.9180150000000005,7.650207000000001
